,word,n_fix,first_fix_dur,first_pass_dur,total_fix_dur,mean_fix_dur,fix_prob,n_refix,reread_prob
41,edging,0.9,201.8,207.0,207.0,196.6,0.8,0.1,0.1
42,awkwardly,1.9,228.2,315.2,402.1,206.30333333333337,0.9,1.0,0.6
43,round,1.0,159.6,170.8,209.8,154.3,0.7,0.3,0.3
44,them.,0.8,159.0,173.9,173.9,155.1,0.7,0.1,0.1
45,Our,0.4,82.0,82.0,82.0,82.0,0.4,0.0,0.0
46,party,1.6,175.4,263.8,310.5,171.05833333333334,0.9,0.7,0.4
47,then,0.9,123.7,131.1,164.4,107.9,0.6,0.3,0.3
48,had,0.7,126.4,141.1,209.1,144.5,0.5,0.2,0.2
49,to,0.3,37.3,37.3,69.6,43.45,0.2,0.1,0.1
50,step,1.0,107.3,107.3,168.3,105.42,0.6,0.4,0.1
51,gingerly,1.5,185.8,253.7,368.3,197.55,0.8,0.7,0.4
52,over,1.0,115.5,128.5,185.7,116.3,0.6,0.4,0.2
53,hundreds,1.7,166.7,219.2,315.8,155.5625,0.8,0.9,0.2
54,of,0.5,32.2,42.6,80.8,26.125,0.2,0.3,0.1
55,marine,1.3,176.4,176.4,287.2,169.94285714285715,0.7,0.6,0.1
56,iguanas,1.8,232.9,329.9,448.1,237.76190476190476,0.8,1.0,0.4
57,basking,1.6,162.3,216.2,342.6,179.63333333333335,0.8,0.8,0.4
58,on,0.6,114.8,114.8,130.4,112.45,0.5,0.1,0.1
59,the,0.9,73.7,84.7,129.2,61.43333333333334,0.4,0.5,0.2
60,"rocks,",2.0,214.7,277.9,488.6,216.925,0.7,1.3,0.3
61,strange,1.2,150.1,246.8,246.8,164.2,0.8,0.4,0.4
62,creatures,1.8,179.9,280.7,344.7,175.55,0.9,0.9,0.6
63,with,0.5,23.5,23.5,72.0,23.25,0.2,0.3,0.1
64,richly,1.8,218.8,285.6,402.5,198.08333333333331,0.9,0.9,0.7
65,coloured,1.2,278.8,302.5,349.3,270.25,0.9,0.3,0.1
66,velvet,1.1,232.5,232.5,291.7,227.16666666666669,0.9,0.2,0.1
67,"coats,",1.1,268.1,292.5,292.5,245.25,0.9,0.2,0.2
68,looking,1.2,228.9,242.8,297.4,222.4333333333333,0.9,0.3,0.2
69,like,0.9,153.7,170.0,170.0,135.2,0.7,0.2,0.2
70,something,1.1,143.6,170.6,188.4,130.18333333333334,0.8,0.3,0.2
71,between,0.7,129.8,129.8,129.8,129.8,0.7,0.0,0.0
72,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,giant,1.0,180.7,208.7,208.7,184.4,0.9,0.1,0.1
74,lizard,0.8,154.5,154.5,154.5,154.5,0.8,0.0,0.0
75,and,0.4,108.6,108.6,130.7,108.15,0.3,0.1,0.1
76,a,0.1,22.2,22.2,22.2,22.2,0.1,0.0,0.0
77,miniature,1.2,206.9,253.7,253.7,200.55,0.9,0.3,0.3
78,"dinosaur,",1.5,202.3,310.3,310.3,187.15,0.9,0.6,0.6
79,and,0.4,82.5,82.5,82.5,82.5,0.4,0.0,0.0
80,found,1.2,166.0,193.3,199.6,157.35,0.9,0.3,0.3
81,nowhere,0.8,202.4,202.4,202.4,202.4,0.8,0.0,0.0
82,else,1.0,147.9,209.0,228.4,153.68333333333334,0.7,0.3,0.2
83,on,0.5,105.9,105.9,105.9,105.9,0.5,0.0,0.0
84,earth,0.6,150.9,150.9,150.9,150.9,0.6,0.0,0.0
85,except,0.8,140.5,161.8,161.8,147.0,0.7,0.1,0.1
86,here,0.7,95.3,95.3,122.0,104.35,0.6,0.1,0.1
87,in,0.5,127.6,127.6,127.6,127.6,0.5,0.0,0.0
88,the,0.1,16.7,16.7,16.7,16.7,0.1,0.0,0.0
89,Galapagos.,1.4,234.1,250.4,338.8,222.75,0.9,0.5,0.4
90,A,0.3,137.5,137.5,137.5,137.5,0.3,0.0,0.0
91,little,2.0,157.0,284.7,336.4,153.98333333333332,0.9,1.1,0.7
92,further,1.3,170.0,177.0,220.7,166.65,0.9,0.4,0.4
93,on,0.6,133.3,133.3,155.8,134.05,0.5,0.1,0.1
94,were,1.2,204.7,204.7,305.0,218.15,0.9,0.3,0.3
95,the,0.8,82.7,105.6,146.3,89.85,0.5,0.3,0.3
96,blue-footed,2.2,170.5,365.8,447.9,182.93333333333334,0.9,1.3,0.8
97,"boobies,",1.4,150.0,372.2,372.2,175.93333333333334,0.7,0.7,0.3
98,birds,1.2,178.6,225.0,260.1,168.31,0.7,0.5,0.2
99,with,0.9,112.2,122.5,175.3,121.16666666666666,0.6,0.3,0.2
100,brilliant,1.0,149.6,149.6,210.5,150.65,0.7,0.3,0.2
101,china-blue,1.8,198.3,370.2,418.4,195.725,0.8,1.0,0.7
102,"feet,",1.2,202.3,213.0,289.9,189.0,0.8,0.4,0.4
103,again,0.8,172.7,172.7,222.9,157.6,0.6,0.2,0.2
104,unique.,1.0,220.1,239.1,257.1,222.05,0.8,0.2,0.2
105,And,0.5,72.1,72.1,84.6,72.9,0.4,0.1,0.1
106,then,1.1,137.8,137.8,207.1,132.85,0.7,0.4,0.3
107,there,1.4,189.3,248.8,318.0,182.74166666666665,0.8,0.6,0.3
108,were,0.7,75.7,105.2,105.2,83.6,0.6,0.1,0.1
109,the,0.4,51.3,51.3,74.6,59.65,0.3,0.1,0.1
110,flightless,1.4,167.3,231.9,303.9,172.84166666666667,0.7,0.7,0.4
111,"cormorants,",1.7,212.1,291.2,410.9,220.71666666666664,0.8,0.9,0.4
112,birds,0.9,138.5,181.2,215.5,146.1,0.6,0.3,0.2
113,with,0.5,101.1,101.1,101.1,101.1,0.5,0.0,0.0
114,vestigial,1.7,191.5,255.6,430.1,191.05,0.8,0.9,0.5
115,wings,1.2,185.7,185.7,298.0,187.75,0.7,0.5,0.4
116,"who,",0.9,141.1,141.1,158.6,145.95,0.8,0.1,0.1
117,over,0.7,90.9,90.9,124.0,90.05,0.5,0.2,0.2
118,the,0.6,120.7,120.7,169.2,132.2,0.5,0.1,0.1
119,"generations,",2.0,162.2,393.1,436.7,182.89166666666668,0.8,1.2,0.7
120,have,1.1,138.2,150.0,268.0,185.15,0.8,0.3,0.3
121,lost,1.2,205.8,222.2,276.9,203.15,0.9,0.3,0.3
122,the,0.5,51.4,51.4,68.8,54.65,0.4,0.1,0.1
123,ability,1.6,199.2,267.8,316.4,194.6,1.0,0.6,0.5
124,to,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,fly,0.7,149.8,149.8,149.8,149.8,0.7,0.0,0.0
126,because,1.2,171.1,208.0,234.7,172.45,0.9,0.3,0.3
127,the,0.6,124.7,124.7,138.2,138.2,0.6,0.0,0.0
128,nutrients,1.8,278.2,331.4,421.6,258.2333333333333,1.0,0.8,0.6
129,at,0.5,56.7,56.7,81.1,64.2,0.4,0.1,0.1
130,the,0.8,155.1,172.1,158.6,143.35,0.7,0.1,0.1
131,shoreline,1.3,250.7,284.1,284.1,228.05,1.0,0.3,0.3
132,are,0.8,132.6,159.1,159.1,124.43333333333335,0.6,0.2,0.1
133,so,0.7,111.5,134.0,134.0,105.35,0.6,0.1,0.1
134,rich,0.4,71.4,71.4,71.4,71.4,0.4,0.0,0.0
135,they,1.5,102.7,174.6,329.7,113.57380952380952,0.6,0.9,0.3
136,have,0.8,155.0,155.0,137.9,103.25,0.6,0.2,0.2
137,no,0.7,97.6,97.6,190.9,99.1,0.4,0.3,0.1
138,need,1.2,209.7,217.8,239.1,207.3,1.0,0.2,0.2
139,to,0.3,33.0,33.0,52.6,31.15,0.2,0.1,0.1
140,leave.,1.7,255.5,322.4,378.1,237.475,1.0,0.7,0.5
141,The,0.3,39.4,39.4,39.4,39.4,0.3,0.0,0.0
142,island,1.7,252.0,340.7,386.9,232.24999999999994,1.0,0.7,0.5
143,of,0.2,41.0,41.0,41.0,41.0,0.2,0.0,0.0
144,Fernandina,3.5,252.3,846.6,930.0,258.37857142857143,1.0,2.5,0.8
145,lies,0.9,239.3,239.3,239.3,239.3,0.9,0.0,0.0
146,at,0.3,61.2,61.2,61.2,61.2,0.3,0.0,0.0
147,the,0.6,141.1,141.1,141.1,141.1,0.6,0.0,0.0
148,far,0.8,136.6,136.6,180.2,139.6,0.6,0.2,0.2
149,western,1.5,182.6,245.1,245.1,164.1,1.0,0.5,0.5
150,edge,0.8,124.9,124.9,174.0,116.9,0.6,0.2,0.2
151,of,0.3,63.7,63.7,63.7,63.7,0.3,0.0,0.0
152,the,0.5,61.9,79.5,112.3,65.43333333333334,0.3,0.2,0.1
153,Galapagos,1.8,235.5,327.3,399.5,227.4833333333333,1.0,0.8,0.6
154,"archipelago,",2.7,297.5,491.8,725.7,260.01666666666665,1.0,1.7,0.7
155,dominated,1.9,268.6,403.7,431.1,259.45833333333337,1.0,0.9,0.4
156,by,0.3,59.5,59.5,59.5,59.5,0.3,0.0,0.0
157,a,0.5,103.3,103.3,103.3,103.3,0.5,0.0,0.0
158,volcano,1.3,184.0,213.1,246.3,186.1,1.0,0.3,0.3
159,that,0.9,161.8,161.8,177.3,160.45,0.8,0.1,0.1
160,last,1.3,198.0,207.4,278.7,207.45,1.0,0.3,0.3
161,erupted,1.1,194.3,217.6,234.9,182.65,0.8,0.3,0.3
162,only,0.8,170.6,170.6,170.6,170.6,0.8,0.0,0.0
163,six,0.4,41.8,41.8,41.8,41.8,0.4,0.0,0.0
164,years,0.5,137.4,137.4,137.4,137.4,0.5,0.0,0.0
165,"ago,",0.9,150.9,170.1,170.1,148.35,0.8,0.1,0.1
166,and,0.2,38.7,38.7,38.7,38.7,0.2,0.0,0.0
167,home,1.2,190.4,242.9,281.4,191.58333333333334,0.8,0.4,0.3
168,to,0.4,88.0,88.0,88.0,88.0,0.4,0.0,0.0
169,some,1.2,180.0,245.1,245.1,174.63333333333335,0.9,0.3,0.2
170,of,0.3,60.8,60.8,60.8,60.8,0.3,0.0,0.0
171,the,0.7,113.4,113.4,113.4,113.4,0.7,0.0,0.0
172,most,0.6,107.8,107.8,107.8,107.8,0.6,0.0,0.0
173,remarkable,1.3,188.9,249.6,268.3,181.01666666666665,0.9,0.4,0.3
174,wildlife,1.3,246.6,288.5,305.4,222.35,0.9,0.4,0.4
175,in,0.4,53.2,60.1,60.1,47.65,0.3,0.1,0.1
176,the,0.7,124.9,138.1,138.1,121.65,0.6,0.1,0.1
177,world.,0.8,115.7,133.2,133.2,115.6,0.7,0.1,0.1
178,It,0.8,173.1,173.1,173.1,173.1,0.8,0.0,0.0
179,was,0.3,52.3,52.3,52.3,52.3,0.3,0.0,0.0
180,late,0.5,95.7,107.2,107.2,92.05,0.4,0.1,0.1
181,afternoon,1.0,124.9,149.7,190.5,127.4,0.7,0.3,0.3
182,on,0.2,51.1,51.1,51.1,51.1,0.2,0.0,0.0
183,one,1.0,126.3,153.8,186.8,132.15,0.7,0.3,0.3
184,of,0.5,102.0,102.0,102.0,102.0,0.5,0.0,0.0
185,the,0.4,54.7,54.7,83.1,59.1,0.3,0.1,0.1
186,last,1.2,133.7,152.1,214.6,146.55,0.8,0.4,0.4
187,days,0.9,139.5,139.5,159.3,138.65,0.8,0.1,0.1
188,of,0.6,75.7,108.0,108.0,74.95,0.4,0.2,0.2
189,the,0.6,94.1,94.1,94.1,94.1,0.6,0.0,0.0
190,"year,",0.8,121.4,121.4,189.3,131.83333333333331,0.6,0.2,0.1
191,and,0.2,30.0,30.0,30.0,30.0,0.2,0.0,0.0
192,we,0.9,157.2,172.1,185.7,149.05,0.7,0.2,0.2
193,had,1.2,198.2,198.2,249.4,190.75,0.9,0.3,0.3
194,come,1.0,174.6,174.6,185.0,169.35,0.9,0.1,0.1
195,ashore,1.8,241.8,387.2,484.2,256.3,1.0,0.8,0.6
196,to,0.6,85.7,103.8,103.8,87.65,0.5,0.1,0.1
197,scramble,1.4,184.7,241.1,254.9,190.21666666666667,1.0,0.4,0.3
198,round,0.9,171.6,171.6,190.2,170.05,0.8,0.1,0.1
199,the,0.5,124.6,124.6,124.6,124.6,0.5,0.0,0.0
200,rough,1.5,180.2,221.2,337.7,203.81666666666666,0.9,0.6,0.5
201,dark,1.5,168.6,257.4,305.2,169.76666666666665,0.8,0.7,0.6
202,lava,1.1,197.2,197.2,250.6,182.2,0.8,0.3,0.3
203,rocks,1.1,217.9,260.3,280.6,210.41666666666669,0.8,0.3,0.2
204,of,0.4,57.9,57.9,57.9,57.9,0.4,0.0,0.0
205,Punta,1.6,264.4,335.8,394.1,245.03333333333336,1.0,0.6,0.5
206,Espinosa,2.5,319.5,416.2,689.3,283.025,1.0,1.5,0.8
207,on,0.4,34.5,34.5,54.5,41.35,0.3,0.1,0.1
208,the,0.7,145.6,145.6,145.6,145.6,0.7,0.0,0.0
209,island.,1.7,171.2,227.0,333.7,174.18666666666667,0.9,0.8,0.4
210,In,0.4,109.0,152.9,152.9,116.4,0.3,0.1,0.1
211,the,0.2,21.2,21.2,21.2,21.2,0.2,0.0,0.0
212,golden,0.6,125.3,125.3,125.3,125.3,0.6,0.0,0.0
213,afternoon,1.8,203.1,340.9,355.6,200.68333333333334,1.0,0.8,0.7
214,"light,",0.9,214.6,214.6,220.9,208.45,0.8,0.1,0.1
215,with,0.9,155.6,166.6,209.0,147.3,0.6,0.3,0.3
216,the,0.7,152.2,152.2,152.2,152.2,0.7,0.0,0.0
217,moon,0.8,128.3,128.3,154.5,133.5,0.7,0.1,0.1
218,rising,1.2,184.7,256.5,256.5,197.5,0.9,0.3,0.3
219,above,1.3,237.0,290.7,299.0,229.925,0.9,0.4,0.2
220,the,0.5,108.3,108.3,108.3,108.3,0.5,0.0,0.0
221,volcanoes,1.5,225.6,304.9,304.9,201.55,0.9,0.6,0.4
222,on,0.4,63.5,79.9,79.9,61.35,0.3,0.1,0.1
223,Isabela,1.3,208.6,308.8,308.8,205.35,0.9,0.4,0.4
224,Island,0.4,48.2,48.2,48.2,48.2,0.4,0.0,0.0
225,across,1.2,150.9,217.4,238.9,151.55,0.7,0.5,0.4
226,the,0.6,86.5,105.4,105.4,84.45,0.5,0.1,0.1
227,"strait,",1.5,225.9,271.2,337.0,238.75,1.0,0.5,0.5
228,we,0.1,16.8,16.8,16.8,16.8,0.1,0.0,0.0
229,could,1.5,237.8,267.8,309.8,224.41666666666669,1.0,0.5,0.4
230,be,0.5,91.2,97.4,97.4,89.7,0.4,0.1,0.1
231,forgiven,1.3,238.9,265.5,278.4,222.11666666666665,1.0,0.3,0.2
232,for,0.7,111.2,119.5,119.5,106.65,0.6,0.1,0.1
233,thinking,1.1,169.0,198.2,198.2,165.06666666666666,0.9,0.2,0.1
234,that,0.7,144.1,144.1,144.1,144.1,0.7,0.0,0.0
235,we,0.3,64.1,64.1,64.1,64.1,0.3,0.0,0.0
236,were,0.8,116.1,137.5,137.5,121.7,0.7,0.1,0.1
237,guests,0.8,134.0,134.0,134.0,134.0,0.8,0.0,0.0
238,in,0.2,32.2,32.2,32.2,32.2,0.2,0.0,0.0
239,paradise.,1.1,104.0,226.8,226.8,121.7,0.6,0.5,0.3
240,The,0.3,54.3,54.3,54.3,54.3,0.3,0.0,0.0
241,creatures,1.3,192.1,274.3,274.3,188.65,0.9,0.4,0.4
242,you,0.7,94.5,118.6,118.6,95.6,0.5,0.2,0.1
243,see,0.5,85.2,85.2,85.2,85.2,0.5,0.0,0.0
244,in,0.4,67.9,67.9,67.9,67.9,0.4,0.0,0.0
245,the,0.5,90.6,90.6,90.6,90.6,0.5,0.0,0.0
246,Galapagos,1.7,168.6,293.0,354.4,168.2,0.8,0.9,0.3
247,are,0.4,79.6,79.6,81.2,81.2,0.4,0.0,0.0
248,remarkable,1.3,140.2,187.6,227.8,142.35,0.8,0.5,0.3
249,in,0.2,37.6,37.6,37.6,37.6,0.2,0.0,0.0
250,their,0.6,128.0,128.0,128.0,128.0,0.6,0.0,0.0
251,rarity.,0.5,118.9,118.9,118.9,118.9,0.5,0.0,0.0
252,They,0.9,194.6,194.6,215.2,201.95,0.8,0.1,0.1
253,are,0.8,177.0,177.0,247.7,185.825,0.5,0.3,0.1
254,even,0.9,116.9,139.5,172.2,114.63333333333335,0.6,0.3,0.2
255,more,0.8,124.4,124.4,170.1,125.63333333333333,0.6,0.2,0.1
256,so,0.6,94.7,94.7,113.1,91.35,0.5,0.1,0.1
257,for,0.6,85.2,107.6,124.8,79.6,0.4,0.2,0.2
258,their,1.1,182.3,215.5,215.5,165.7,0.8,0.3,0.3
259,lack,0.8,96.5,106.9,130.0,104.35,0.6,0.2,0.2
260,of,0.2,15.6,15.6,22.9,11.45,0.1,0.1,0.1
261,fear.,1.2,184.9,217.4,223.5,169.3,0.8,0.4,0.3
262,They,0.5,64.9,82.8,68.4,53.1,0.4,0.1,0.1
263,don't,1.3,150.5,170.9,242.6,153.7,0.8,0.5,0.4
264,run,0.6,114.2,114.2,114.2,114.2,0.6,0.0,0.0
265,away.,0.9,118.8,161.4,161.4,122.8,0.7,0.2,0.2
266,They,0.9,93.1,138.0,154.4,84.68333333333334,0.5,0.4,0.3
267,carry,1.3,157.2,220.9,250.5,178.9,0.9,0.4,0.4
268,on,0.6,89.7,89.7,89.7,89.7,0.6,0.0,0.0
269,basking,1.6,147.7,171.6,300.6,171.56666666666666,0.9,0.7,0.4
270,or,0.5,87.0,87.0,87.0,87.0,0.5,0.0,0.0
271,playing,1.7,220.7,295.7,346.2,206.91666666666666,1.0,0.7,0.6
272,or,0.1,11.9,11.9,11.9,11.9,0.1,0.0,0.0
273,mating,1.5,269.0,339.1,370.0,259.8,1.0,0.5,0.5
274,or,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,incubating,3.0,231.3,568.8,672.8,234.1541666666667,1.0,2.0,0.9
276,their,1.1,184.9,199.4,244.6,179.4,0.8,0.3,0.3
277,eggs,1.2,143.6,161.1,223.4,139.4,0.8,0.4,0.2
278,or,0.2,33.7,33.7,33.7,33.7,0.2,0.0,0.0
279,fighting,2.1,220.0,333.6,435.1,205.83333333333331,1.0,1.1,0.6
280,for,0.7,126.5,126.5,131.7,107.55,0.6,0.1,0.1
281,territory,1.1,158.8,169.4,207.0,153.85,0.8,0.3,0.2
282,with,0.4,58.3,58.3,80.0,61.1,0.3,0.1,0.1
283,blissful,1.5,211.0,278.7,380.2,215.95,0.8,0.7,0.6
284,disregard,1.7,225.6,284.8,361.7,238.78333333333336,1.0,0.7,0.5
285,for,0.5,75.5,75.5,75.5,75.5,0.5,0.0,0.0
286,human,1.1,183.5,202.8,202.8,179.2,0.9,0.2,0.2
287,beings.,1.0,160.1,201.7,201.7,156.15,0.8,0.2,0.2
288,It,0.4,89.4,89.4,89.4,89.4,0.4,0.0,0.0
289,is,0.7,105.8,125.9,171.7,93.6,0.4,0.3,0.2
290,as,0.9,186.6,186.6,186.6,186.6,0.9,0.0,0.0
291,if,0.5,83.6,102.4,102.4,85.7,0.4,0.1,0.1
292,you,0.9,156.3,167.7,184.8,149.75,0.7,0.2,0.2
293,are,0.8,132.1,132.1,153.4,125.6,0.6,0.2,0.1
294,walking,1.1,149.0,177.4,195.9,143.7,0.8,0.3,0.3
295,into,0.4,53.6,68.3,68.3,54.55,0.3,0.1,0.1
296,a,0.5,107.0,107.0,107.0,107.0,0.5,0.0,0.0
297,David,0.7,125.4,125.4,125.4,125.4,0.7,0.0,0.0
298,Attenborough,1.1,175.0,215.2,215.2,169.25,0.9,0.2,0.2
299,"programme,",1.5,237.5,303.7,303.7,216.16666666666669,1.0,0.5,0.4
300,and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,finding,1.4,204.6,275.3,275.3,205.0,1.0,0.4,0.4
302,that,0.5,101.2,101.2,101.2,101.2,0.5,0.0,0.0
303,the,0.6,87.0,94.3,94.3,86.35,0.5,0.1,0.1
304,real,1.1,185.0,191.2,209.0,180.2,0.9,0.2,0.2
305,thing,1.0,168.0,168.0,178.0,161.9,0.9,0.1,0.1
306,is,0.2,40.0,40.0,40.0,40.0,0.2,0.0,0.0
307,even,1.0,160.7,168.1,189.5,157.65,0.8,0.2,0.2
308,better,0.9,119.7,141.3,141.3,124.0,0.8,0.1,0.1
309,than,0.4,49.1,49.1,49.1,49.1,0.4,0.0,0.0
310,you,0.4,66.3,66.3,66.3,66.3,0.4,0.0,0.0
311,ever,0.6,133.6,147.5,147.5,112.1,0.5,0.1,0.1
312,imagined.,1.8,172.0,318.2,318.2,173.85,1.0,0.8,0.8
313,The,0.3,54.6,54.6,54.6,54.6,0.3,0.0,0.0
314,closeness,1.7,230.0,326.1,339.7,221.05,1.0,0.7,0.5
315,of,0.3,56.4,56.4,56.4,56.4,0.3,0.0,0.0
316,the,0.4,76.4,76.4,76.4,76.4,0.4,0.0,0.0
317,living,1.1,153.1,183.6,203.9,148.7,0.8,0.3,0.3
318,natural,1.2,220.6,230.6,253.5,211.25,1.0,0.2,0.2
319,"world,",0.9,163.1,163.1,163.1,163.1,0.9,0.0,0.0
320,in,0.6,86.4,86.4,86.4,86.4,0.6,0.0,0.0
321,this,0.6,63.7,72.6,72.6,64.25,0.5,0.1,0.1
322,environment,1.2,115.1,154.7,193.5,119.9,0.7,0.5,0.3
323,of,0.1,7.2,7.2,7.2,7.2,0.1,0.0,0.0
324,volcanic,1.8,256.7,391.6,426.7,240.35,1.0,0.8,0.7
325,rock,1.0,149.3,168.9,176.4,148.46666666666664,0.8,0.2,0.1
326,and,0.2,26.1,26.1,26.1,26.1,0.2,0.0,0.0
327,sweeping,1.4,222.4,256.8,280.3,223.5333333333333,1.0,0.4,0.3
328,beaches,1.1,222.2,250.3,250.3,231.25,1.0,0.1,0.1
329,and,0.1,17.9,17.9,17.9,17.9,0.1,0.0,0.0
330,sparse,1.3,217.6,262.5,296.2,215.7,0.9,0.4,0.4
331,"vegetation,",2.2,269.0,477.8,539.0,266.9583333333333,1.0,1.2,0.7
332,makes,1.0,182.7,217.2,217.2,185.2,0.8,0.2,0.2
333,the,0.2,31.7,31.7,31.7,31.7,0.2,0.0,0.0
334,Galapagos,2.2,155.9,350.2,357.7,159.73333333333332,1.0,1.2,0.8
335,experience,1.9,205.8,320.6,375.7,204.275,1.0,0.9,0.6
336,special.,1.5,264.2,315.6,337.1,241.83333333333334,1.0,0.5,0.4
337,The,0.1,23.4,23.4,23.4,23.4,0.1,0.0,0.0
338,colours,1.8,186.7,287.4,351.7,197.63333333333335,1.0,0.8,0.7
339,"help,",1.2,207.1,223.8,238.2,202.15,1.0,0.2,0.2
340,too.,0.8,135.2,159.7,159.7,138.2,0.7,0.1,0.1
341,The,0.4,82.1,82.1,82.1,82.1,0.4,0.0,0.0
342,intense,1.5,192.9,333.7,333.7,175.88333333333333,0.8,0.7,0.6
343,black,1.0,168.2,168.2,221.1,170.15,0.8,0.2,0.2
344,of,0.3,34.0,50.5,50.5,33.0,0.2,0.1,0.1
345,the,0.8,74.1,91.7,136.9,87.83333333333334,0.5,0.3,0.2
346,"rock,",0.8,162.9,162.9,162.9,162.9,0.8,0.0,0.0
347,the,0.4,73.3,73.3,62.0,62.0,0.4,0.0,0.0
348,startling,1.9,210.0,370.2,392.9,208.95,1.0,0.9,0.8
349,blue,0.7,170.3,170.3,170.3,170.3,0.7,0.0,0.0
350,of,0.3,73.0,73.0,73.0,73.0,0.3,0.0,0.0
351,sea,1.1,140.1,217.4,231.5,134.51666666666668,0.7,0.4,0.3
352,and,0.5,93.3,93.3,112.3,83.95,0.4,0.1,0.1
353,"sky,",0.8,176.0,176.0,258.3,207.2,0.7,0.1,0.1
354,the,0.5,98.4,98.4,98.4,98.4,0.5,0.0,0.0
355,crimson,1.7,214.7,285.1,358.3,220.23333333333335,1.0,0.7,0.6
356,of,0.1,16.4,16.4,16.4,16.4,0.1,0.0,0.0
357,the,0.5,68.0,85.7,85.7,64.7,0.4,0.1,0.1
358,mating,1.6,200.0,252.0,337.2,214.5666666666667,1.0,0.6,0.5
359,"frigate-birds,",2.1,248.0,550.3,593.1,250.75333333333333,0.9,1.2,0.6
360,the,0.1,15.8,15.8,15.8,15.8,0.1,0.0,0.0
361,yellow,1.7,203.5,268.2,311.9,189.26666666666665,1.0,0.7,0.5
362,of,0.1,19.4,19.4,19.4,19.4,0.1,0.0,0.0
363,the,0.8,117.6,153.8,153.8,124.4,0.6,0.2,0.1
364,"warblers,",2.0,229.3,411.7,443.4,222.69166666666666,1.0,1.0,0.7
365,the,0.2,28.7,28.7,28.7,28.7,0.2,0.0,0.0
366,brilliant,1.4,218.6,276.2,276.2,207.95,1.0,0.4,0.4
367,orange,1.1,218.5,233.4,233.4,214.55,1.0,0.1,0.1
